under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
19104,4776,6856,-15640,-15506,6784,-14884,-5048,1728,-10360,-533,1047
27684,-6900,-10468,-18208,9867,5669,-13780,-20076,20076,-17418,-18393,-3539
22752,9068,-5144,0,0,0,-23620,-17844,-8636,14584,6324,13379
13024,7592,7504,30150,24439,6850,-4484,-7140,-11532,1570,-28907,7718
16016,4576,10896,-771,-6125,2297,-28280,6784,20004,-8510,15025,-6550
9944,-2612,-8032,357,7015,-8037,-13056,-1008,-4580,32767,4812,-8999
6600,128,-3648,-5481,-13078,-733,-11264,-7484,-380,-21626,-17249,2991
16932,7124,1456,21494,7697,5525,-6408,-6984,-9168,11298,-9349,8932
14192,3512,7124,-4322,2945,6123,-3460,-3076,-7640,723,11310,5573
30088,16383,-1,-1,-1,-1,-21580,-4812,-8888,15441,8728,230
9892,-2332,-9008,4980,9735,-8567,-14952,-2256,-3944,25527,-5345,-6923
5840,-668,-6604,-6410,-7388,-540,-13128,-9096,-1184,-26960,-17249,2910
22360,6416,22296,-6080,-10972,1940,-20056,-1468,9412,12967,15777,-7066
14788,6908,-4196,10936,-117,3223,-11748,-11452,-12288,7396,-3581,7025
13364,2360,7088,-728,1962,7006,-3084,-4088,-9352,376,-512,3634
12440,-1776,-7776,464,13805,-9214,-13448,-6420,-1540,13699,-6189,-4187
5548,-1068,-6432,-45,-7214,-3159,-12212,-7496,-632,-24111,-3273,1496
16784,9376,18916,-3445,-20047,-367,-14700,-2088,9028,661,8802,-3082
14784,6476,3736,27612,22262,6835,-6012,-7184,-10332,10663,-10067,7315
14372,2280,4144,-5746,-5048,4089,-5344,-3400,-6276,2227,9584,5120
14724,4548,13440,0,0,0,-22456,2264,16264,-17895,12943,-9788
23168,4064,-7276,-1978,-28569,-10614,-10304,-5568,-3172,9360,19733,-2854
9336,1040,-6932,7284,5187,-6193,-14176,-3876,2436,-7106,1182,-5737
11444,-612,-876,-5059,-14047,-3132,-12024,-4832,2592,-8127,-8036,-1021
32767,-12648,25264,-9498,10686,11511,-3712,-4804,32767,-3508,179,1869
30836,8608,560,16897,3229,7848,-22108,2816,628,6018,1872,9339
15932,6572,2468,26622,26812,4681,-8128,-4348,-10712,4859,-4339,8889
14724,4224,3416,-2728,-1754,3316,-3776,-5284,-8532,-6657,-2343,5033
12644,-84,-6188,19282,9784,-3555,-15084,-2052,4084,7095,6728,-7380
3908,2168,-9100,5957,-10113,-3062,-10928,-8964,-1480,-14591,-11277,33
16572,10184,27476,-5866,-4128,1561,-18960,-432,9692,-1409,2462,-3048
14548,3940,-2348,15326,-9611,3719,-15356,-10112,-10672,4674,-3116,7052
12204,-1372,-5560,5076,6676,-5519,-12328,-4720,-3680,24657,-3042,-2143
6024,704,-8760,1185,-7018,-3236,-12392,-7272,848,-16821,-2308,441
32767,13024,28252,-23494,-27274,1602,-14904,-3012,8292,-2753,9668,-2131
20408,8360,-2088,3343,-4615,-67,-20080,-17396,-7904,5669,8141,6257
18416,6284,924,10214,7215,5848,-4132,-5080,-10084,8498,-6891,5677
-7940,-15172,16884,0,0,0,-15624,-1640,-12480,-2254,-10756,1871
10952,-2316,-7372,7552,8773,-4819,-16128,-4360,-3412,24657,589,-1470
4428,1076,-9104,2774,-6072,-4856,-10188,-8520,1364,-23414,-1363,965
32767,16844,32767,-29940,-21754,-1640,-15384,-2920,11972,-12063,1255,1179
-516,-1240,-15200,0,0,0,-25684,-688,-1556,9876,-7517,-3906
12640,4272,-2084,11404,-9504,1763,-17876,-12856,-8372,9367,-2920,6333
13460,680,9140,5103,-1800,6099,-6984,-3472,-9764,7093,-1177,3964
5616,5376,32767,0,0,0,-13856,-13040,-10824,-24505,1396,-5441
28348,-1544,8216,-18525,-6319,-16654,-25720,-4976,-2932,9461,240,-13
10616,512,-8364,10552,12154,-4638,-16032,-4660,-1308,31601,-4221,-4538
2432,640,-10540,695,-6865,-4049,-11592,-11324,-4272,-28449,-12223,4458
12528,1908,28624,-12215,-2019,9801,-18404,-300,12924,10069,12435,-6510
13424,5352,-572,20275,5155,3350,-17476,-13740,-7532,11804,4894,8988
11848,3268,8956,-3526,-6660,5959,-5408,-5848,-9808,5943,-253,4649
15520,8848,14688,11830,2049,10946,-12188,-4404,-11788,-18244,12057,-4601
20484,6628,-3072,0,0,0,-8804,-5692,-18880,-1078,-17140,4329
16704,-1984,-5368,-1371,12711,-6448,-11608,-9200,0,20423,9420,-590
4660,-584,-8876,2436,-2259,-1805,-12768,-3152,3400,-16654,-1997,-4140
31608,9400,19632,-32768,-21686,13739,-13768,-3908,6392,-4909,487,-1962
32767,8688,-2344,21597,32767,6612,-23300,-8632,13176,-830,-5782,-7082
20324,8808,1396,0,0,0,-17340,-16332,-8816,-1987,5182,9416
15088,1112,6284,6718,329,6704,-7216,-6216,-8640,11060,-878,4700
16184,876,-5428,623,12472,-7547,-14548,-3760,-2716,16860,13784,-3027
6060,304,-8408,-632,504,-5650,-12864,-7432,-396,-17396,-6314,-380
14288,-3624,1520,-18621,-18598,8609,-15108,-4708,2216,-2056,1566,-2251
14796,8228,2728,20676,14139,5826,-6100,-7124,-9364,10962,-6975,6069
15516,1532,5188,-6351,-7114,3540,-4108,-2448,-11848,250,1647,6107
22992,392,-4296,2609,-19817,-5340,-13288,-652,-5496,9744,20475,-6249
10736,-1084,-7180,4540,8448,-8508,-13900,-2032,1280,7892,3440,-5812
6140,-1692,-8656,-1081,-11807,-2127,-12144,-6396,304,-14372,-8058,1447
22328,20,-2840,-13603,5453,925,-20952,752,11952,9723,5174,-8362
14308,3768,3076,25685,15428,4348,-10676,-11396,-9064,9308,-5580,5946
13096,1876,6012,-7178,-2999,4786,-3156,-3692,-10880,-1948,-1954,1735
23708,-7188,2400,0,0,0,-21988,-596,-8564,19867,10956,-3292
14372,-1624,-3560,11402,7508,-6117,-13624,-6828,-5424,32767,776,-4664
6672,1064,-6656,7661,-1949,-3158,-12612,-6472,1564,-23791,-11564,1986
17080,3140,5124,-14778,-17346,3862,-12900,-4744,6136,-1392,7495,-4454
27652,-3520,-14896,0,0,0,-17616,-10832,18808,-24442,-13698,2016
24256,5376,-2052,16070,-11134,-1099,-23776,-3668,-6864,-4464,1851,13281
15984,5560,508,23570,26389,5004,-6264,-5312,-12116,-1488,-11228,8697
13828,5824,3548,-4238,-3847,2236,-4028,-5132,-8736,-6917,5806,4918
32300,-3644,7848,-2484,-16363,-6067,-19620,-8884,-3888,-2574,173,-5468
14224,-3368,-4560,10386,9108,-4618,-15552,-4816,1416,21289,330,-8903
4944,1316,-8164,1969,-6072,-1764,-12272,-8640,2856,-14946,-19403,1239
32767,14180,30136,-3553,-20348,-8491,-14536,-4596,3604,-6213,1827,-2659
24028,7400,2076,19718,-21476,1305,-22136,-5848,-3320,-4354,-738,12469
15556,8788,1124,21067,22053,6967,-7472,-6568,-10048,5005,-6255,8725
27476,-1004,3564,-1716,-9787,-7734,-18896,-7852,-5048,-13562,8393,-5756
11352,2172,-6852,8892,9222,-7004,-13028,-2108,2848,13055,3543,-4575
3952,-924,-9488,-5017,-6927,-1944,-12516,-6480,-548,-20862,-12968,4592
12108,-17868,-20232,-32768,-5077,-476,-24928,-7960,4728,13343,-2422,-10143
11468,5532,-128,0,0,0,-14804,-17752,-10588,13086,14662,5158
15656,1200,5808,-10024,-421,5594,-6584,-8252,-8580,14538,-5421,3951
13212,8360,17928,996,6494,7510,-11824,-4848,-9400,-16021,21597,-12725
21176,18396,-4676,0,0,0,-8172,6780,-22756,9453,-32270,3746
11088,116,-8584,-14798,-1157,-7806,-13140,-4336,4204,-7263,3174,-3347
12968,-3924,-472,-30233,-13114,6203,-13476,-1900,612,-7712,6394,-704
14652,460,3448,-1271,19299,-6823,-16872,-6312,8732,9435,7320,-5991
4512,9904,-21712,4180,-7400,-203,-24580,-10168,-13180,14039,-12988,-5396
16444,348,-132,20937,-4517,7926,-8836,-14216,-7372,15160,5818,710
16252,-292,7012,0,0,0,-16448,836,556,12623,25005,9277
