under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-4612,-592,-10392,8159,-10295,-3483,-13548,-800,-1996,-1023,10602,-2446
-18260,3464,21752,-7999,-8414,-354,-18548,2356,3408,1517,16264,-1697
-31716,6840,8780,6804,13808,6942,-25724,1128,11784,12934,-3922,-3299
-17168,664,-4160,140,14173,-280,-21784,-8988,-13028,-10305,-15359,11676
-15752,-832,-704,-7770,13851,4758,-5596,-5484,-12328,8786,-13634,7958
-14860,-2004,1256,-5500,12447,5177,-5652,2476,-10772,-22019,-12466,5859
-17080,-5184,-3644,-4724,18265,6676,-15452,-1288,220,16426,-4485,-194
-25128,-15952,14456,-9088,-3493,2700,-32768,-11892,23056,-20970,2871,5831
-28768,6016,-21376,1708,-15614,-13267,-18808,2016,-6492,-7285,17907,4189
-8628,9280,-9400,6307,-17328,-11868,-12608,-3052,-1448,4898,15835,-4153
-3528,-512,-12976,6513,-8599,-5788,-12420,-992,496,-2780,11701,-2620
-19908,-7100,32767,9886,-16819,1087,-14172,1996,-2592,3611,14468,-2934
-21308,-508,10304,16673,-585,4195,-25028,208,14192,18364,-3446,-4544
-17572,-304,-4948,2320,13710,778,-23504,-6164,-15636,-8891,-15763,11230
-15024,-2584,20,-9643,13418,4896,-4476,-4312,-12464,5435,-13647,7637
-15364,-3852,1604,-5220,12397,5040,-7308,2884,-6552,-16834,-12563,6089
-17084,-2116,-3528,-6646,17295,5143,-16716,-1064,26140,-7893,-14372,337
-23636,-11604,12092,-5479,-4660,1426,-24072,-2840,11816,-23372,646,2128
-29868,4560,-16608,-257,-15690,-10399,-17444,3444,-7356,-3341,12249,2041
-10924,7952,-8492,3107,-16039,-11745,-14760,5380,-3036,11740,13285,-3306
-5440,28,-10048,3224,-9338,-4571,-13732,1304,1420,906,9942,-2829
-20288,-10068,26872,19037,-11847,2957,-16068,416,-1528,497,10541,-3485
-18700,4632,3760,10092,-1661,2324,-20600,-3368,12964,12960,-1257,-5132
-16228,-1392,-3528,1645,12557,530,-21316,-7620,-13772,-7406,-12230,8881
-15632,-2552,-1948,-6562,12006,3362,-7656,-2876,-11568,7023,-12589,8226
-15848,-2136,-2072,-2903,12556,5455,-8020,2948,-8216,-13148,-10314,7698
-23244,-4944,3664,-8062,760,120,-14508,5348,-16516,-25891,6080,3737
-5124,852,-10340,1897,-10653,-2367,-13788,568,-864,3064,11083,-2680
-14664,3428,10500,15870,-7711,5019,-14268,-528,-6520,386,11887,-3648
-11560,-2140,1572,-3778,-4300,-2435,-19764,-1756,7316,8451,7760,-4802
-14684,-3444,-6504,-14631,5250,-3656,-26808,5392,-14732,5286,-6348,3886
-18488,3936,-2764,-2825,12386,5823,-17416,-14892,-11460,5134,-16122,9138
-15628,-2232,-100,-4893,12358,5738,-5412,352,-12684,139,-8725,2034
-16704,1852,-4892,-1064,13737,7397,-9508,-12236,8288,-30123,-15632,-3321
-24056,372,3160,-6345,11447,8018,-5988,-6884,7944,17890,-288,-8006
-16660,-4664,-10256,-3058,-9948,-6586,-17608,5984,-14624,8500,6006,3427
-16568,11028,-8332,2136,-13467,-15373,-15876,-4852,-3840,2282,12303,-1116
-9324,-2940,-7676,5905,-10556,-9614,-14376,1536,-400,-1233,14057,-3296
-14328,2492,12208,18824,-12446,1942,-15044,704,-5608,3289,11721,-2493
-8620,-2848,5852,-4454,-5366,-4651,-19048,-3064,5948,4988,10605,-4629
-576,5376,-3904,-14231,1844,-4260,-24632,3080,-15352,2322,-6345,4624
-19500,4356,-4008,733,12687,5200,-17132,-13012,-13168,1953,-16986,11945
-14564,-2404,-292,-4890,14403,4948,-5772,228,-6116,6515,-10688,6297
